Midway,Monarchs,
Midway/Minto,Mustangs,
Midway/Minto/Colony,Monarchs,
Milnor,Bison,
Milnor/North Sargent,Bulldogs,
Minnewaukan/Sheyenne,,
Minot,Magicians,
Minot/Dakota Memorial,Magicians,
Minto,,
Mohall/Lansford/Sherwood,Mavericks,
Mohall/Sherwood,Mavericks,
Mott-Regent,Wildfire,
Munich/Starkweather,Magic Storm,
Munich/Starkweather/Cando,Magic Storm,
Napoleon,Imperials,
Napoleon/Gackle-Streeter,Imperials,
New England,Tigers,
New Rockford-Sheyenne,Rockets,
New Salem,Holsteins,
New Salem/Glen Ullin,Holsteins,
New Town,Eagles,
New Town/Mandaree,Eagles,
North Border co-op [Walhalla/Pembina-Neche],Eagles,
North Border co-op [Walhalla/Pembina],Eagles,
North Central Benson co-op [Leeds/Minnewaukan],Raiders,
North Prairie co-op [Rolette/Wolford/Rolla],Comets,
North Prairie co-op [Rolla/Rock Lake/Rolette/Wolford],Cougars,
North Sargent,Bulldogs,
North Shore,Wildcats,
North Shore/Parshall/Berthold,Wildcats,
North Shore/White Shield,Wildcats,
North Star co-op [Cando/Bisbee-Egeland/Munich/Starkweather],Bearcats,
North Star co-op [Cando/Bisbee-Egeland/Starkweather],Bearcats,
North Star co-op [Cando/Bisbee-Egeland],Bearcats,
North Star/Starkweather,Bearcats,
Northern Cass,Jaguars,
Oak Grove Lutheran,Grovers,
Oak Grove Lutheran/Park Christian,Grovers,
Oakes,Tornadoes,
Our Redeemer's Christian,Knights,
Park River,Aggies,
Park River/Fordville-Lankin,Aggies,
Park River/Fordville-Lankin/Edinburg,Aggies,
Parshall,Braves,
Parshall/North Shore,Braves,
Parshall/White Shield,Braves,
Pingree-Buchanan,Rebels,
Powers Lake,Ranchers,
Powers Lake/Wildrose-Alamo,Ranchers,
Ray,Ray Jays,
Red River,Roughriders,
Richardton-Taylor,Raiders,
Richardton-Taylor/Hebron,Raiders,
Richland,Colts,
Rolette/Wolford,Comets,
Rolla,Bulldogs,
Rolla/Rock Lake,Bulldogs,
Rugby,Panthers,
Sargent Central,Cadets,
Sawyer,,
Scranton,Miners,
Shanley,Deacons,
Shanley/Oak Grove Lutheran,Deacons,
Sheridan County [McClusky/Goodrich],Coyotes,
Shiloh Christian,Skyhawks,
Shiloh Christian/Strasburg/Linton,Skyhawks,
Solen,Eagles,
Solen/Cannonball,Eagles,
South Border co-op [Wishek/Ashley],Mustangs,
South Heart,Eagles,
South Heart/Belfield,Eagles,
Southern McLean [Washburn/Wilton/Wing],Cardinals,
St. John,Woodchucks,
St. Mary's Central,Saints,
Standing Rock,Warriors,
Standing Rock/Selfridge,Warriors,
Stanley,Blue Jays,
Stanley/Powers Lake,Bluejays,
Steele-Dawson,Pirates,
Steele-Dawson/Wing/Napoleon,Pirates,
Steele-Dawson/Wing/Tuttle-Pettibone,Pirates,
Steele-Dawson/Wing/Tuttle-Pettibone/Napoleon,Pirates,
Strasburg/Zeeland,Clippers,
Surrey,Mustangs,
Tappen,Comets,
Thompson,Tommies,
Tioga,Pirates,
Towner-Granville-Upham,Titans,
Trenton,Tigers,
Trenton/Trinity Christian,Tigers,
Tri-County co-op [Drake/Anamoose/Goodrich],Raiders,
Tri-County co-op [Drake/Anamoose/McClusky/Goodrich],Raiders,
Trinity,Titans,
Trinity Christian,Crusaders,
Trinity/New England,Titans,
Turtle Lake-Mercer,Trojans,
Turtle Lake-Mercer/McClusky,Trojans,
Turtle Lake-Mercer/Underwood/McClusky/Goodrich,Trojans,
Turtle Mountain,Braves,
Underwood,Comets,
Valley City,Hi-Liners,
Valley/Edinburg,Titans,
Velva,Aggies,
Velva/Drake,Aggies,
Velva/Drake/Anamoose,Aggies,
Velva/Sawyer,Aggies,
Wahpeton,Huskies,
Walhalla/Pembina/Drayton,Eagles,
Warwick,Warriors,
Washburn,Cardinals,
Washburn/Wilton/Center-Stanton,Cardinals,
Watford City,Wolves,
Watford City/Alexander,Wolves,
Watford City/Alexander/Johnson Corners Christian Academy,Wolves,
Wells County,Bears,
West Fargo,Packers,
Westhope/Newburg,Sioux,
Westhope/Newburg/Glenburn,Sioux,
Westhope/Newburg/Melita,Sioux,
White Shield,Warriors,
Williams County co-op [Tioga/Ray],Firestorm,
Williston,Coyotes,
Wilton,Miners,
Wilton/Wing,Miners,
Wing,Wildcats,
Wing/Tuttle,Wildcats,
Wishek,Badgers,
Wyndmere,Warriors,
Wyndmere/Lidgerwood,Warbirds,
